Era,Time,Sig_Landed,Sig_Att,TD_Landed,TD_Att,Sig_Landed_Per_Min,Sig_Att_Per_Min,TD_Landed_Per_Min,TD_Att_Per_Min
No-Rules Era,0.3333333333333333,1,1,1,1,3.0,3.0,3.0,3.0
No-Rules Era,0.9666666666666668,1,1,0,1,1.0344827586206895,1.0344827586206895,0.0,1.0344827586206895
No-Rules Era,1.2833333333333334,4,4,1,2,3.1168831168831166,3.1168831168831166,0.7792207792207791,1.5584415584415583
No-Rules Era,1.5166666666666666,0,0,1,2,0.0,0.0,0.6593406593406593,1.3186813186813187
No-Rules Era,1.1166666666666667,5,12,0,0,4.477611940298507,10.746268656716417,0.0,0.0
No-Rules Era,1.1166666666666667,0,0,0,0,0.0,0.0,0.0,0.0
No-Rules Era,1.4833333333333334,7,7,1,1,4.719101123595506,4.719101123595506,0.6741573033707865,0.6741573033707865
No-Rules Era,3.1166666666666667,13,29,0,0,4.171122994652406,9.304812834224599,0.0,0.0
No-Rules Era,5.133333333333334,2,4,1,1,0.3896103896103896,0.7792207792207791,0.1948051948051948,0.1948051948051948
No-Rules Era,6.683333333333334,3,5,0,1,0.44887780548628425,0.7481296758104737,0.0,0.14962593516209477
No-Rules Era,9.85,4,6,1,1,0.40609137055837563,0.6091370558375635,0.10152284263959391,0.10152284263959391
No-Rules Era,2.833333333333333,8,12,0,0,2.823529411764706,4.235294117647059,0.0,0.0
No-Rules Era,4.866666666666666,2,3,1,1,0.4109589041095891,0.6164383561643836,0.20547945205479454,0.20547945205479454
No-Rules Era,12.216666666666669,11,17,1,1,0.9004092769440654,1.3915416098226465,0.08185538881309685,0.08185538881309685
No-Rules Era,0.5,13,17,0,0,26.0,34.0,0.0,0.0
No-Rules Era,1.45,6,11,1,1,4.137931034482759,7.586206896551724,0.6896551724137931,0.6896551724137931
No-Rules Era,4.566666666666666,4,4,1,2,0.8759124087591241,0.8759124087591241,0.21897810218978103,0.43795620437956206
No-Rules Era,0.7666666666666667,9,12,0,1,11.739130434782608,15.652173913043477,0.0,1.3043478260869565
No-Rules Era,4.816666666666666,8,9,1,1,1.6608996539792389,1.8685121107266436,0.20761245674740486,0.20761245674740486
No-Rules Era,1.9833333333333332,34,50,0,0,17.142857142857146,25.210084033613448,0.0,0.0
No-Rules Era,4.666666666666667,2,6,0,2,0.42857142857142855,1.2857142857142856,0.0,0.42857142857142855
No-Rules Era,2.216666666666667,19,30,1,1,8.571428571428571,13.533834586466165,0.45112781954887216,0.45112781954887216
No-Rules Era,3.816666666666667,7,11,1,1,1.8340611353711789,2.8820960698689957,0.26200873362445415,0.26200873362445415
No-Rules Era,2.7333333333333334,8,14,0,0,2.926829268292683,5.121951219512195,0.0,0.0
No-Rules Era,4.783333333333333,13,40,2,3,2.7177700348432055,8.362369337979095,0.4181184668989547,0.6271777003484321
No-Rules Era,1.75,0,0,2,5,0.0,0.0,1.1428571428571428,2.857142857142857
No-Rules Era,5.533333333333333,11,23,0,2,1.9879518072289157,4.156626506024097,0.0,0.3614457831325301
No-Rules Era,0.8666666666666667,0,0,1,1,0.0,0.0,1.1538461538461537,1.1538461538461537
No-Rules Era,15.816666666666666,0,4,0,0,0.0,0.2528977871443625,0.0,0.0
No-Rules Era,4.35,9,17,1,1,2.0689655172413794,3.9080459770114944,0.2298850574712644,0.2298850574712644
